,WEAPON,DRUG,LIQUOR,MURD,FORCIB,NONFOR,ROBBE,AGG_A,BURGLA,VEHIC,ARSON,BURGLA_RAC,SIM_A,SIM_A_RAC,SIM_A_SEX,LAR_T,LAR_T_RAC,INTIM,INTIM_RAC,INTIM_REL,INTIM_SEX,INTIM_GEN,INTIM_ETH,VANDAL,VANDAL_RAC,VANDAL_REL,VANDAL_SEX,VANDAL_GEN,VANDAL_ETH,RAPE,FONDL,STATR,confidence_score
Oakland University,72.83890368650792,79.71006928102695,89.4605843716552,100.0,24.434165478959002,100.0,76.43417735678831,37.52953790135739,66.84619935871507,37.65926551035336,87.40178054054117,100.0,175.3213597320101,398.45578140006336,100.0,322.30281479727597,694.9229455007547,100.0,100.0,100.0,100.0,100.0,100.0,35.93383340622866,33.43009816003531,20.478663359698356,100.0,282.4629266088537,100.0,48.488387112575936,77.27882373548682,100.0,123.79344741559021
Olivet College,27.116800416421157,172.97662594927795,156.1978566733578,100.0,559.0054076047362,100.0,100.0,590.0584994450263,602.5201367042846,68.93313991652907,9.868365811044438,100.0,100.0,100.0,100.0,100.0,100.0,176.75647841874044,595.9771676770491,100.0,100.0,100.0,100.0,123.48697925407144,480.5523828898867,100.0,100.0,100.0,100.0,399.1443210107522,126.4572625652144,100.0,184.03285701051223
Sacred Heart Major Seminary,100.0,100.0,100.0,100.0,100.0,100.0,100.0,715.0865202503969,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,119.2214537578249
Spring Arbor University,100.0,88.2136578177867,88.02451997055164,100.0,25.973463719337097,100.0,86.53329504931071,3.1065603645512576,112.78751769371556,90.83937468689767,100.0,100.0,100.0,100.0,100.0,100.0,100.0,18.393349216625385,100.0,100.0,100.0,100.0,1203.1562046970134,100.0,100.0,100.0,100.0,100.0,100.0,85.28182735668499,83.3062455763393,100.0,124.55050050465043
Finlandia University,100.0,67.0418802623171,22.577036303895483,100.0,253.62537899169862,100.0,100.0,85.14430653887133,465.4633787322972,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1459.3425958551752,3821.3782799310748,100.0,100.0,100.0,100.0,2418.4072897661017,6442.069511346424,100.0,100.0,100.0,100.0,100.0,100.0,100.0,541.7203018039955
Wayne State University,74.33352471467167,75.16611238182624,82.8898884068313,100.0,59.47902224292061,100.0,216.3028794996033,63.998471582678086,61.47834339006704,273.1917459592404,48.411820340116954,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.63327463894517,71.20176263822327,1192.918708298315,134.15642356541997
Western Michigan University,243.06673657481502,108.08059369198455,36.6705027472907,101.94354315306728,35.2205289616775,227.9083274960697,22.99459544172903,27.74085735394543,24.791688337422556,56.34804128495712,378.5647793925704,100.0,43.77123756009672,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,11.046497099664307,25.75462368623817,100.0,98.24695477442278
Academy College,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,130.71008106053262,399.920833938132,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,110.33221609370827
Augsburg College,322.63211054854764,289.08046938356324,64.98894587944648,100.0,178.31023035519732,100.0,133.6743185054201,112.96407824083823,36.932604207519205,302.6865251671366,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.80519104602318,137.40022791466004,100.0,272.79541199581854,100.0,100.0,204.9287377513207,100.0,616.7864236591223,458.97712992188787,100.0,100.0,249.03271429121804,100.0,100.0,161.56234746461624
Bethany Lutheran College,100.0,47.96303119204956,40.04336021842646,100.0,100.0,100.0,100.0,100.0,218.85704423986135,40.77788808830377,109.43979012152238,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.65878480813011
Bethel University,100.0,78.72255818956084,77.09846315579351,100.0,75.0948609356582,100.0,100.0,86.96065108655576,86.72517592555575,1.3773562608297139,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.57944814843323,55.06905536134396,100.0,90.67586153324159
Bethel Seminary-St. Paul,100.0,36.17994745047917,44.31479408033434,100.0,100.0,100.0,100.0,53.6484934724886,55.30765632789068,771.5861159969638,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,114.40740647900489
Concordia University-Saint Paul,33.17105189352075,37.722717034109785,43.9076101244531,100.0,13.676680265069677,100.0,2.288075487019483,19.652467800045038,25.619145336720027,260.825231347544,32.83877620374335,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,36.61492931501512,254.88475891026914,100.0,100.0,100.0,100.0,77.11592649810956,48.088514449234445,100.0,87.07518389577668
Martin Luther College,100.0,94.87535804569775,68.93970575437051,100.0,100.0,100.0,100.0,100.0,163.77087443126922,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.6094247703963813,48.796379395802475,100.0,96.187241949923
Hamline University,81.74599468637648,38.46832839201741,40.49905394998954,100.0,41.47279421071133,100.0,25.82212459345929,6.989389571359293,37.75914804073828,164.54954636414766,72.48285277303054,100.0,100.0,100.0,100.0,100.0,100.0,177.26083687322966,100.0,100.0,447.4508796067248,100.0,2113.7544944096935,347.78851972888873,481.6103761995911,100.0,720.8591404531887,100.0,100.0,50.01618710572869,197.76681750266496,100.0,204.57176513942312
Macalester College,26.92279012471685,628.246205334642,301.7000574157697,100.0,1441.7724857005217,100.0,37.37552610153015,1.1578014484877976,8.956368813471503,6.55132592460827,100.0,100.0,100.0,100.0,100.0,100.0,100.0,732.4795579765131,1993.4894395964482,100.0,100.0,100.0,100.0,572.2456607553703,1064.1955504269247,953.4845322585397,100.0,100.0,100.0,100.0,100.0,100.0,302.14304068367323
Minnesota State University-Mankato,73.05489411438616,29.7544901445751,57.349894516488995,100.0,36.90022296925668,100.0,2.070385561395864,2.0465591030574966,42.40145576163617,88.51450211755963,18.762766531315872,100.0,77.53576726806482,114.27985024772578,100.0,100.0,100.0,18.14593587405857,2.921817835521832,100.0,100.0,100.0,100.0,15.673193496559973,14.147317798940726,100.0,142.33735091747434,100.0,243.9755490818756,57.55696468463497,0.46619720181605706,100.0,73.05922235082326
Mayo Medical School,128.63113502930196,22.330672684593132,100.0,100.0,2262.592754151817,21862.171010438495,473.06188001144164,1136.9604193806144,79.89977943276571,289.821057432325,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56.57920248856724,1675.9641889946258,100.0,943.3753781263921
Mayo School of Health Sciences,30.727008776895413,54.534845405953604,100.0,100.0,1250.886368423314,12457.558803499398,227.6660696643904,371.513895312399,2.8633306739023774,345.78478595964646,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10.47093924727778,915.4631218202076,100.0,558.3584115244807
Metropolitan State University,19.467390290634846,86.39986686318838,98.776888962929,100.0,82.66259753694001,100.0,45.08274984019567,9.228196082501423,66.99605895302392,5.599477468005924,69.65011733218378,100.0,65.81650666389231,300.2701738730844,100.0,3969.413434376358,7560.07234706138,91.12704975544538,3.872123597408878,605.1691149821847,100.0,100.0,100.0,85.20718538248914,300.927431958262,45.12024134477355,100.0,100.0,100.0,82.76463445010542,76.54141174739007,100.0,461.5676562038243
University of Minnesota-Twin Cities,74.47186582752158,24.576681543888316,6.748778296772856,100.0,5.197360071031357,100.0,39.969458776537074,47.48768845229465,52.711935535755096,34.65863657350934,59.11224672153167,100.0,21.15642262052668,26.882150482267175,100.0,100.0,100.0,75.76575755955132,100.0,100.0,28.224316728732934,100.0,100.0,75.53789134191436,100.0,53.998150493799116,64.12602002587116,100.0,100.0,49.18981825532758,14.484071836691317,100.0,67.3218515982351
University of Minnesota-Crookston,100.0,91.74961429491469,96.12375148820558,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2736.941018115964,7269.524943611585,100.0,100.0,100.0,100.0,100.0,100.0,100.0,406.0731039847084
Minneapolis College of Art and Design,9.373194594215265,117.99029838303893,72.9635908421732,100.0,100.0,100.0,516.8215853244003,1.376575681669563,0.4044462753230353,412.8301073539758,229.75100495745076,100.0,100.0,100.0,100.0,100.0,100.0,730.6369737401772,100.0,100.0,100.0,100.0,13164.234174413457,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,545.5119359864339
Minnesota State University-Moorhead,82.90539345560431,94.05471802241136,14.62681848606467,100.0,150.25356905812433,100.0,100.0,100.0,57.40518675622886,100.0,312.3104355344362,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,633.857843777553,100.0,392.8733215266774,1821.806172580845,100.0,2082.2614828121964,100.0,100.0,100.0,245.0735919378169
Northwestern College,100.0,72.47587251243176,77.89120377902798,100.0,100.0,100.0,79.20360644088504,100.0,115.44235025514769,0.9738618544687024,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.7669284057448977,164.36006689308442,100.0,100.0,100.0,100.0,100.0,48.44026237377472,100.0,92.51731726608016
Northwestern Health Sciences University,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,264.4174937126868,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,105.13804667852146
College of Saint Benedict,100.0,30.467492291308197,265.645674037775,100.0,30.057658439621314,100.0,100.0,63.38094747943648,83.73886359280638,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1137.6465572990962,1287.9998884051358,100.0,168.71678379828685
Saint Cloud State University,80.35912318863247,5.090709314234951,39.419803851499964,100.0,24.736957158494043,100.0,41.539754090714496,60.151445666271876,23.04926120580894,85.34894657783913,70.39220217155253,100.0,61.762128033860684,100.0,100.0,100.0,100.0,235.61684567808047,134.44363536403534,243.9635141225413,120.8915612332549,710.875688612289,100.0,140.90491381022494,330.23679291107715,100.0,120.80624197437764,100.0,213.4141230656051,5.927845356165419,38.97332687785815,100.0,121.49702563326308
